x coordinate,y coordinate,z coordinate
129.375,55.4051758992698,63.75
129.375,57.1726041600188,63.75
80.625,45.3956246199367,65.625
82.5,43.6106192712241,65.625
80.625,47.2466931161964,65.625
80.625,49.0969000714138,65.625
82.5,51.1292782391254,63.75
80.625,50.9459878904962,65.625
82.5,52.9637457304339,63.75
80.625,52.793714363674,65.625
82.5,54.795747853545,63.75
80.625,54.6398578029351,65.625
82.5,56.6251522394192,63.75
80.625,56.4842218183706,65.625
82.5,58.361062561093,65.625
84.375,41.8335673889812,65.625
84.375,54.8550729052027,63.75
84.375,56.6788743338132,63.75
84.375,58.4998395585584,63.75
84.375,60.2284891220968,65.625
86.25,40.0628423736953,65.625
86.25,58.5497446559134,63.75
86.25,60.3618460392974,63.75
86.25,62.0857053846846,65.625
88.125,40.1401657420533,65.625
88.125,60.4071992428855,63.75
88.125,62.1152544399157,65.625
90,38.3753851852221,65.625
90,60.4536689669967,63.75
90,62.1458199496056,65.625
91.875,38.4540853301234,65.625
91.875,62.1770961062604,65.625
93.75,38.5314863227952,65.625
93.75,62.2087110120887,65.625
95.625,36.7619779082303,65.625
95.625,64.0350894002817,65.625
97.5,36.8330370505249,65.625
97.5,65.8476989622268,65.625
99.375,36.8993917671165,65.625
99.375,65.8663041376215,65.625
101.25,36.9599414364559,65.625
101.25,67.6580335054314,65.625
103.125,35.1561612978383,65.625
103.125,67.6677730666689,65.625
105,35.1982610942731,65.625
105,67.6753624149384,65.625
106.875,35.2307604780302,65.625
106.875,67.6804632451002,65.625
108.75,35.2526195260551,65.625
108.75,69.4359267805177,65.625
110.625,35.262869456755,65.625
110.625,69.4307693147095,65.625
112.5,35.2606344590246,65.625
112.5,69.4228041755759,65.625
114.375,35.2451525041583,65.625
114.375,67.6706799228213,65.625
116.25,37.1068795936937,65.625
116.25,69.3982700262147,65.625
118.125,37.0696037403537,65.625
118.125,67.6456534013528,65.625
120,38.9100364635912,65.625
120,67.6281238546451,65.625
121.875,38.8505949359847,65.625
121.875,67.6074807685125,65.625
123.75,40.6691676501791,65.625
123.75,42.547460894065,65.625
123.75,65.8482425291386,65.625
125.625,44.344019142385,65.625
125.625,64.0807754486078,65.625
127.5,46.1264257083525,65.625
127.5,60.5458508840433,65.625
127.5,62.3006397694452,65.625
129.375,47.895854303454,65.625
129.375,49.7355797899391,65.625
129.375,51.5611438169766,65.625
129.375,56.9598178342758,65.625
129.375,58.736400274831,65.625
131.25,53.3043937060332,65.625
131.25,55.1095619772536,65.625
78.75,49.0436010088268,65.625
76.875,48.918094638945,67.5
78.75,47.0965163604066,67.5
78.75,50.8966463008745,65.625
76.875,50.7799143520079,67.5
78.75,52.7484703730855,65.625
76.875,52.6411051408067,67.5
78.75,54.5988179953971,65.625
76.875,54.5013856482275,67.5
78.75,56.385201321169,67.5
78.75,45.2373070547628,67.5
80.625,43.4270245584811,67.5
80.625,58.2628354794247,67.5
82.5,41.624709933355,67.5
82.5,60.1968712340006,65.625
80.625,60.1124231977431,67.5
82.5,61.9781585836274,67.5
84.375,39.8294406496666,67.5
84.375,61.9972878085536,67.5
86.25,38.0397325436934,67.5
86.25,63.8530149448477,67.5
88.125,38.1018999001823,67.5
88.125,63.9320129924047,65.625
88.125,65.7004437631386,67.5
90,38.1645937797626,67.5
90,63.957282789839,65.625
90,65.7146850856497,67.5
91.875,36.3796948581161,67.5
91.875,63.9831169173186,65.625
91.875,65.7293820680314,67.5
93.75,36.4414538424315,67.5
93.75,64.0091815089759,65.625
93.75,65.8077843314633,65.625
93.75,67.5601700756804,67.5
95.625,36.5013267464123,67.5
95.625,65.8280550140735,65.625
95.625,67.5704752298151,67.5
97.5,34.7063284147978,67.5
97.5,67.5803150682298,67.5
99.375,34.7578384313397,67.5
99.375,67.589394444105,67.5
101.25,34.8043111638786,67.5
101.25,67.5974057643687,67.5
103.125,34.8447675485035,67.5
103.125,69.3962881204292,67.5
105,34.8782228534526,67.5
105,69.3966850537365,67.5
106.875,34.9037062983357,67.5
106.875,69.3952671889914,67.5
108.75,33.0428681070286,67.5
108.75,69.3918476652054,67.5
110.625,33.0444196582543,67.5
110.625,69.3862819269737,67.5
112.5,34.9232549857962,67.5
112.5,69.3784762026679,67.5
114.375,34.908135104395,67.5
114.375,69.3683948631172,67.5
116.25,34.8811078796839,67.5
116.25,69.3560664161638,67.5
118.125,34.841703895327,67.5
118.125,67.5780520169686,67.5
120,36.6935297302205,67.5
120,67.5631637563591,67.5
121.875,38.5349477503172,67.5
121.875,67.5458893762745,67.5
123.75,40.3652341325508,67.5
123.75,42.2477507715236,67.5
123.75,65.764423024496,67.5
125.625,44.0602671480341,67.5
125.625,65.7425305895063,67.5
127.5,45.8612432737759,67.5
127.5,62.1795956949237,67.5
127.5,63.9511876417308,67.5
129.375,47.6516187652402,67.5
129.375,58.5807471895269,67.5
129.375,60.3681064408179,67.5
131.25,49.4328449866343,67.5
131.25,51.2765438151513,67.5
131.25,53.1081805022932,67.5
131.25,54.9284620794963,67.5
131.25,56.7382238659531,67.5
75,47.0176473820714,67.5
73.125,46.9401795586452,69.375
75,45.0978200638576,69.375
75,48.8828098181805,67.5
73.125,48.8107483169743,69.375
75,50.7021241616277,69.375
76.875,45.1937498607635,67.5
76.875,43.2625984189423,69.375
76.875,47.0559396545556,67.5
75,52.5701428092009,69.375
75,54.43763268451,69.375
76.875,56.3195257834268,69.375
78.75,43.2964437953175,69.375
78.75,58.1970667036294,69.375
80.625,41.4729710872871,69.375
80.625,60.0699614177372,69.375
82.5,39.656631167006,69.375
80.625,61.9262033651597,69.375
82.5,63.7903570163372,69.375
84.375,37.846580615352,69.375
84.375,63.8364369630119,67.5
84.375,65.6491839165086,69.375
86.25,37.8933318722917,69.375
86.25,65.6575450036886,69.375
88.125,36.0900904676873,69.375
88.125,67.5086875251535,69.375
90,36.139152982513,69.375
90,67.5153087139737,69.375
91.875,36.1881690316247,69.375
91.875,67.5222033504873,69.375
93.75,36.2365839191747,69.375
93.75,67.5292126158217,69.375
95.625,34.4310886059277,69.375
95.625,69.3646698030389,69.375
97.5,34.4748473355208,69.375
97.5,69.3676474266535,69.375
99.375,34.5154813041704,69.375
99.375,69.3699640775148,69.375
101.25,34.5521699828687,69.375
101.25,69.3714078647406,69.375
103.125,34.5840615672198,69.375
103.125,69.3717695857663,69.375
105,34.6102893567208,69.375
105,69.3708517385731,69.375
106.875,32.7573750111393,69.375
106.875,69.3684776012701,69.375
108.75,32.7651464868276,69.375
108.75,67.5624979363944,69.375
110.625,32.7643622156181,69.375
110.625,67.5602847638687,69.375
112.5,32.754297267985,69.375
112.5,67.5560404903664,69.375
114.375,32.7343061193996,69.375
114.375,67.5496910121663,69.375
116.25,34.6028748881821,69.375
116.25,67.5412204608272,69.375
118.125,34.5677611472843,69.375
118.125,67.5306761392746,69.375
120,36.4248266676383,69.375
120,67.5181718417876,69.375
121.875,38.2739714180603,69.375
121.875,67.50388942982,69.375
123.75,40.1144460252465,69.375
123.75,67.4880785845218,69.375
125.625,41.94587999465,69.375
125.625,65.6853582491102,69.375
127.5,43.7683292261227,69.375
127.5,45.6434872361825,69.375
127.5,63.8774637945051,69.375
129.375,47.4519633582104,69.375
129.375,58.4563204044006,69.375
129.375,60.2614193765001,69.375
129.375,62.0607215198449,69.375
131.25,49.2530821746415,69.375
131.25,51.10640520116,69.375
131.25,56.6065154488214,69.375
133.125,52.8970761218731,69.375
133.125,54.735584017717,69.375
73.125,45.0699472042833,69.375
71.25,45.019614370804,71.25
73.125,43.166180587591,71.25
71.25,46.8934029160352,71.25
71.25,48.7676608856916,71.25
73.125,50.6542770704761,71.25
75,43.2306269439463,69.375
75,41.3188748535083,71.25
73.125,52.5269708100948,71.25
75,54.409003489168,71.25
76.875,41.342766815882,71.25
75,56.2793135603888,71.25
76.875,58.1562548380682,71.25
78.75,41.3680967893187,71.25
78.75,60.0301514678488,71.25
80.625,39.5342544163246,71.25
78.75,61.894955893715,71.25
80.625,63.7632259019434,71.25
82.5,37.7068361947459,71.25
82.5,65.6282448203778,71.25
84.375,37.7401374731733,71.25
84.375,65.6325803525087,71.25
86.25,37.7747495146862,71.25
86.25,67.4931737662441,71.25
88.125,35.9570700049535,71.25
88.125,67.4968255856976,71.25
90,35.9941252263561,71.25
90,69.3521065050573,71.25
91.875,36.0314406914971,71.25
91.875,69.3541624902339,71.25
93.75,34.2151336677712,71.25
93.75,69.3561442330688,71.25
95.625,34.2505813089688,71.25
95.625,69.357914307109,71.25
97.5,34.284385948773,71.25
97.5,69.3593168244355,71.25
99.375,34.3158971373659,71.25
99.375,69.3601838267015,71.25
101.25,34.3444142955305,71.25
101.25,69.3603424729269,71.25
103.125,34.3691994803473,71.25
103.125,69.3596227953298,71.25
105,32.5208882904608,71.25
105,65.701658276405,71.25
105,67.5293766163919,71.25
106.875,32.5320154958081,71.25
106.875,65.7052649333253,71.25
106.875,67.5296942546002,71.25
108.75,32.5367449611191,71.25
108.75,65.7074361367685,71.25
110.625,32.5343604392235,71.25
110.625,67.5261408130082,71.25
112.5,32.5241923130953,71.25
112.5,67.5220390673512,71.25
114.375,32.505634529708,71.25
114.375,67.5163055602348,71.25
116.25,34.3755404770157,71.25
116.25,67.5089420560773,71.25
118.125,34.3446304538215,71.25
118.125,67.5000062441673,71.25
120,36.2062895852364,71.25
120,67.4896145933003,71.25
121.875,38.0621039939552,71.25
121.875,67.4779436092831,71.25
123.75,39.9113094024799,71.25
123.75,65.659661896874,71.25
125.625,41.7534741647315,71.25
125.625,65.6460846764238,71.25
127.5,43.5885475407476,71.25
127.5,65.6314950138844,71.25
129.375,45.4168907973859,71.25
129.375,63.8068957067524,71.25
131.25,47.2392892296096,71.25
131.25,49.1098988283439,71.25
131.25,58.4225063896013,69.375
131.25,60.15603592346,71.25
131.25,61.9745634129991,71.25
133.125,50.9234823477279,71.25
133.125,52.7807493451853,71.25
133.125,56.5647877519918,69.375
133.125,58.3036311170902,71.25
135,54.588440920658,71.25
135,56.4342653075175,71.25
