Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13","Regional strain value, cardiac phase_14"
51,0,0.0464964385814655,-0.0519449185183611,-0.0375599667828207,-0.207695785509485,-0.150956115074508,-0.0585857806725055,-0.0581056540077067,-0.139801945241685,-0.120450638567614,-0.108114781454136,-0.0926244894844503,-0.0073678785257334,-0.0430125471257896
52,0,0.0344055784725157,-0.0601210485492381,-0.0429295232773206,-0.192545775866987,-0.160727477408145,-0.0782607638443643,-0.0714288497200248,-0.128292462385824,-0.114731195587544,-0.0982409778622231,-0.0799065034434455,-0.00525749974325085,-0.0330082656820387
53,0,-0.0036915454356472,-0.0662173574892415,-0.0928521026951789,-0.18619929846348,-0.148857229880744,-0.0503965327549255,-0.028612038685485,-0.0894016715515584,-0.09120885665124,-0.0569398604037613,-0.0457118470502467,0.00403937347989713,-0.0104240081570853
54,0,0.0244428848674827,-0.0565311023195254,-0.089404578749586,-0.201148353827763,-0.16980867210197,-0.0690682427249711,-0.0724918614162713,-0.133862196499961,-0.102207435845969,-0.0838518159112162,-0.0741004022718412,-0.00970123894641028,-0.0265813997146579
55,0,0.0363634719179895,-0.0654639389779815,-0.0482658573969725,-0.211481943564515,-0.171211622705857,-0.0714776225313478,-0.074314334035398,-0.131253255530063,-0.114730417163835,-0.100416835985371,-0.0894535923671231,-0.00584561703404907,-0.0468388330702445
56,0,0.0317785335486223,-0.0698812615971074,-0.0464115267181683,-0.206470982300948,-0.17228557143091,-0.0793613038990597,-0.0824327027574244,-0.134016802736239,-0.118991458419153,-0.10603505100003,-0.0905439957492196,-0.0118425309943325,-0.045363299416105
57,0,-0.00325363357999897,-0.0743257828361976,-0.083064299290045,-0.181048161963321,-0.14281486458887,-0.0444324534874729,-0.0269334949381785,-0.0953069679193352,-0.0929771003328865,-0.0610016443816859,-0.0441416006100026,-0.00419058797835647,-0.0146733109438948
58,0,0.0207880713558375,-0.0793964791381263,-0.0650292991315092,-0.212109546890137,-0.17810636992742,-0.0684564410532591,-0.0708006506943579,-0.117928347272234,-0.111746235243383,-0.0927614367915099,-0.0782084879752277,-0.00453793511893341,-0.0486217476784311
59,0,0.0120423622977355,-0.0943473631279259,-0.0611267355718735,-0.220547150075693,-0.193264685411242,-0.0756339514261675,-0.076716453332034,-0.106214292085837,-0.122825129998212,-0.101210226407768,-0.0837010775589245,0.00201350278248724,-0.0576759305239816
60,0,0.0138450294143717,-0.0817869894867863,-0.087770631795296,-0.180664545790872,-0.168980287671799,-0.0685902547355971,-0.0880258847864629,-0.130103203893921,-0.122333556930091,-0.112176229298876,-0.0799999465839707,-0.0356296985686597,-0.0696214790262595
61,0,0.0241147009426381,-0.0635696224851784,-0.0916231726780271,-0.179830444863334,-0.174853893723773,-0.101217112576346,-0.121536333321687,-0.165842478415276,-0.125323881155523,-0.120207771353802,-0.0972084791301148,-0.0544185736187305,-0.0521934739274948
62,0,0.0198313099554925,-0.0761264365473049,-0.113536682334089,-0.19399866909682,-0.184059559611583,-0.0858284156656551,-0.121500540817181,-0.162859160236347,-0.120435724620871,-0.111574405025754,-0.0871080206258433,-0.0455807445660421,-0.0575529025853434
63,0,0.0231558430741301,-0.0702062662776634,-0.0719600292475128,-0.181415993125512,-0.177051907960087,-0.10729010392177,-0.124085444818066,-0.158599360198774,-0.129341765406256,-0.129675804921499,-0.107810536876838,-0.0618253507485805,-0.0622431010537187
64,0,0.00502744711703751,-0.0880499793257469,-0.0883404785264563,-0.214150325312575,-0.180932318201599,-0.062672787295934,-0.0672808606875031,-0.110996606291718,-0.107789949355322,-0.0857763991929046,-0.070656177094499,-0.00981074631098755,-0.0455703381093802
65,0,0.0075508688046082,-0.0877622546416169,-0.094884726906481,-0.181651625071772,-0.185112227090843,-0.082004477278267,-0.10180130054636,-0.125402867998595,-0.117391005360237,-0.104702239399572,-0.0758752813,-0.0325116769188787,-0.0537288709587607
66,0,0.00521555419272257,-0.0851419823711181,-0.119646373487246,-0.191237976397024,-0.185278063008406,-0.0821269752360504,-0.108108809358693,-0.140847491396343,-0.108148318216889,-0.0946569746305234,-0.071120772374245,-0.0406737840210828,-0.0428077497994822
67,0,0.0149865024958715,-0.0761623387404596,-0.0940335121171518,-0.187781851159043,-0.195860387091676,-0.117429646729093,-0.142044670002223,-0.157642768778777,-0.131518629604495,-0.128840253869863,-0.109434745923927,-0.0641471582040823,-0.0663072578701835
68,0,0.00250186708150602,-0.0851531537200071,-0.114952756067089,-0.189862001451526,-0.194815963181178,-0.0959964698820596,-0.119577467328906,-0.137022059347651,-0.114447835051915,-0.103420774612199,-0.0819997190048563,-0.0487778478862662,-0.0514925770861798
69,0,-0.00510290250787715,-0.0307498821268832,-0.0679429130351532,-0.090525175511904,-0.0717986206217143,-0.112753860900308,-0.0205720445360109,-0.0260915591348957,-0.101187515502352,-0.0885683061193606,0.0705657619752929,0.125528382183991,0.016846001879379
70,0,0.0071169046054953,-0.013774687973377,-0.0431274916773856,-0.0688459236569321,-0.0453004552078821,-0.0917916261108093,0.000776763182553042,0.00122915403855139,-0.0851671256821243,-0.0769520540962265,0.0773316902455847,0.136717218256652,0.0299974896181299
