Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13"
67,0,-0.0650804554216002,-0.0507634753802904,-0.121928857283807,-0.174587599904368,-0.1927697238749,-0.234639385280157,-0.185214468270538,-0.109666639117248,-0.129575519586847,-0.055841073919043,-0.0540491141792028,-0.0975406667538118
68,0,-0.150143254165836,-0.001093574024709,-0.150767779941021,-0.192495265400678,-0.213082518695526,-0.24734789394315,-0.12598836491298,-0.216150516586844,-0.130516982309476,-0.0629062630826648,-0.0869239440065852,-0.139966874791445
69,0,-0.120633635418075,0.00220800060121906,-0.185157871013849,-0.209624430117851,-0.236413442134415,-0.258208259886764,-0.142357848317228,-0.229299972345106,-0.109938566410313,-0.0884058860678535,-0.105806431314413,-0.127747595595814
70,0,-0.0984629956651831,-0.0487467285363973,-0.109101317210309,-0.177867687082472,-0.197097732109341,-0.239023800878054,-0.187951791833596,-0.132658920104746,-0.143834606080964,-0.046624627007143,-0.0462904071581989,-0.129536271031561
71,0,-0.070884702138271,-0.0584999331995493,-0.11893438106365,-0.180556931630108,-0.194420939683789,-0.229829517505938,-0.181194017982721,-0.112203591189908,-0.14093052508955,-0.0671021568902784,-0.0618812538214361,-0.114546737169315
72,0,-0.167390069478111,-0.0202686548636096,-0.135166291299184,-0.193915443551223,-0.208807694655552,-0.237598798955106,-0.144761042027228,-0.206625769375783,-0.145345170711083,-0.0649776065714583,-0.0884326655944111,-0.160805700542946
73,0,-0.135004631112498,-0.00172368095671926,-0.185670948379534,-0.207913872040785,-0.241521306437852,-0.259698678268764,-0.158922670724474,-0.241853950003886,-0.134221565938659,-0.0842270173232651,-0.103309369662448,-0.143017044640648
74,0,-0.100870927937517,-0.0498136773402881,-0.115663293914766,-0.177958796494616,-0.198681163085731,-0.24859935921831,-0.1757840384934,-0.132543014667994,-0.145434871951425,-0.0257838515671693,-0.0325798930335606,-0.113546017722995
75,0,-0.0653905592943366,-0.0550283657063784,-0.119686931765421,-0.18090791420277,-0.185335185256273,-0.235362485711521,-0.164758009868682,-0.103060109143698,-0.142108390162345,-0.0398650527421087,-0.0399866296451676,-0.0866521073331078
76,0,-0.131166026818136,-0.0510004820557509,-0.110514725202735,-0.180159452141893,-0.207408345239506,-0.249065618110623,-0.177283622031681,-0.154476845858657,-0.151996108702165,-0.0247161106556424,-0.0343067289510525,-0.140458950692311
